Invoice Number,Vendor Code,Region,Invoice Date,Invoice Amount,Currency,PO Number,Hold Reason,Payment Status
UK30-INV-200216,V164820,UK30,2026-03-17,2354.26,GBP,PO6954878,Missing PO,On Hold
IT25-INV-200264,V249503,IT25,2026-06-20,13497.1,USD,PO4961352,Approval Pending,On Hold
IT25-INV-200209,V335796,IT25,2026-07-08,16738.81,USD,PO5317048,Price Difference,On Hold
UK30-INV-200001,V275203,UK30,2026-05-11,18802.78,EUR,PO7878974,Quantity Mismatch,On Hold
US20-INV-200022,V465838,US20,2026-04-20,2418.47,GBP,PO5241361,nan,On Hold
US20-INV-200007,V771155,US20,2026-06-01,8618.97,EUR,PO9860935,nan,On Hold
UK30-INV-200141,V210268,UK30,2026-02-20,1550.93,USD,PO4737973,Missing PO,On Hold
UK30-INV-200086,V210268,UK30,2026-04-26,22294.91,EUR,PO4337920,Quantity Mismatch,On Hold
UK30-INV-200241,V358795,UK30,2026-05-18,1061.58,EUR,PO9676924,nan,On Hold
DE10-INV-200215,V221958,DE10,2026-07-14,4548.71,USD,PO1910775,Price Difference,On Hold
FR15-INV-200068,V221958,FR15,2026-07-11,12391.73,USD,PO5767348,Quantity Mismatch,On Hold
DE10-INV-200050,V691723,DE10,2026-04-19,20573.22,USD,PO6499593,nan,On Hold
UK30-INV-200156,V887201,UK30,2026-02-23,16841.76,GBP,PO7123769,Missing GR,On Hold
US20-INV-200252,V256730,US20,2026-05-08,9525.51,GBP,PO2675843,Duplicate Invoice,On Hold
IT25-INV-200254,V891743,IT25,2026-03-25,8153.67,USD,PO4229028,Price Difference,On Hold
UK30-INV-200276,V748143,UK30,2026-01-12,6045.09,GBP,PO9197295,Price Difference,On Hold
FR15-INV-200178,V970910,FR15,2026-05-04,,GBP,PO4828433,Duplicate Invoice,On Hold
UK30-INV-200281,V891743,UK30,2026-03-22,4786.19,USD,PO9212420,Price Difference,On Hold
US20-INV-200237,V818315,US20,2026-03-10,15513.63,GBP,PO7357718,Duplicate Invoice,On Hold
UK30-INV-200071,V876997,UK30,2026-06-21,1549.14,GBP,PO7790968,nan,On Hold
IT25-INV-200129,V465838,IT25,2026-03-06,9505.11,GBP,PO5374857,Missing PO,On Hold
IT25-INV-200144,V818315,IT25,2026-03-04,24992.98,USD,PO1464071,Missing PO,On Hold
FR15-INV-200133,V249503,FR15,2026-04-25,14914.15,EUR,PO4297291,nan,On Hold
FR15-INV-200203,V356840,FR15,2026-04-28,3599.86,GBP,PO6408753,Price Difference,On Hold
DE10-INV-200255,V231932,DE10,2026-06-01,5404.48,USD,PO8056993,Missing GR,On Hold
US20-INV-200072,V621430,US20,2026-06-07,3102.63,EUR,PO4751198,Approval Pending,On Hold
DE10-INV-200235,V586232,DE10,2026-01-23,9356.23,GBP,PO4743797,Approval Pending,On Hold
US20-INV-200037,V447449,US20,2026-05-16,1580.34,USD,PO7918889,nan,On Hold
